rank,condition_id,hotspot_config,sc_score
1,len70_clusterA_noise05,clusterA,0.2630000114440918
2,len70_distributed_noise0,distributed,0.145
3,len25_clusterA_noise0,clusterA,0.25600001215934753
4,len70_clusterB_noise0,clusterB,0.10300000011920929
5,len70_clusterA_noise0,clusterA,0.15199999511241913
6,len70_distributed_noise0,distributed,0.28700000047683716
7,len70_clusterB_noise0,clusterB,0.13600000739097595
8,len100_clusterA_noise0,clusterA,0.2199999988079071
9,len100_distributed_noise0,distributed,0.1720000058412552
10,len70_clusterA_noise0,clusterA,0.24699999392032623
11,len25_clusterA_noise0,clusterA,0.2809999883174896
12,len100_clusterA_noise0,clusterA,0.15800000727176666
13,len100_distributed_noise0,distributed,0.05999999865889549
14,len100_clusterB_noise05,clusterB,0.30799999833106995
15,len70_clusterB_noise0,clusterB,0.1289999932050705
16,len70_distributed_noise0,distributed,0.1720000058412552
17,len50_clusterB_noise0,clusterB,0.189
18,len100_clusterA_noise05,clusterA,0.119
19,len100_clusterA_noise05,clusterA,0.05900000035762787
20,len100_clusterA_noise0,clusterA,0.2800000011920929
21,len100_clusterB_noise05,clusterB,0.145
22,len100_clusterA_noise0,clusterA,0.196
23,len70_clusterA_noise05,clusterA,0.20800000429153442
24,len50_distributed_noise0,distributed,0.257999986410141
25,len70_clusterA_noise0,clusterA,0.17299999296665192
26,len70_distributed_noise05,distributed,0.227
27,len50_clusterA_noise0,clusterA,0.2240000069141388
28,len50_clusterA_noise05,clusterA,0.0
29,len100_distributed_noise0,distributed,0.1459999978542328
30,len70_clusterB_noise05,clusterB,0.12999999523162842
31,len70_clusterA_noise0,clusterA,0.09000000357627869
